tid,elo,rank
CSKA Moscow,1688,1.0
Real Madrid,1681,2.0
Fenerbahce Ulker,1664,3.0
Olympiacos,1588,4.0
Panathinaikos,1580,5.0
Anadolu Efes,1576,6.0
Zalgiris Kaunas,1546,7.0
Crvena Zvezda,1518,8.0
Khimki M.,1515,9.0
Anadolu Efes SK,1511,10.0
Khimki,1504,11.0
Galatasaray CC,1504,11.0
Baskonia,1498,13.0
Lyon-Villeurbanne,1491,14.0
Unicaja,1483,15.0
Bayern,1481,16.0
Fenerbahce,1473,17.0
Crvena zvezda mts,1472,18.0
Alba Berlin,1462,19.0
Maccabi Tel Aviv,1460,20.0
Valencia,1454,21.0
Barcelona,1448,22.0
Zenit Petersburg,1443,23.0
Bamberg,1424,24.0
Unics Kazan,1417,25.0
Darussafaka Ct,1416,26.0
Olimpia Milano,1415,27.0
Gran Canaria,1413,28.0
Buducnost,1375,29.0
